url1,alg1,url2,alg2,url3,alg3
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_2.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_2.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_2.wav,beamformed
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_3.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_3.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_3.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_4.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_4.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_4.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_5.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_5.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_5.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_6.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_6.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_6.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_7.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_7.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_7.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_8.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_8.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_8.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_mvdr_9.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_beamformed_9.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise1_closest_9.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_2.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_2.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_2.wav,beamformed
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_3.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_3.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_3.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_4.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_4.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_4.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_5.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_5.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_5.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_6.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_6.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_6.wav,closest
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_7.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_7.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_7.wav,beamformed
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_8.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_8.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_8.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_beamformed_9.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_closest_9.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise2_mvdr_9.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_beamformed_2.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_closest_2.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_mvdr_2.wav,mvdr
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_mvdr_3.wav,mvdr,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_closest_3.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_beamformed_3.wav,beamformed
http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_closest_4.wav,closest,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_beamformed_4.wav,beamformed,http://research.microsoft.com/en-us/um/people/dinei/Sound2/Dinei_noise3_mvdr_4.wav,mvdr
